image,image_category,disgust_rating,disgust_explanation
baj-chez-picasso-4-1969.jpg,Cubism,0.0,"There are no elements within this artwork that evoke a sense of disgust. The image presents a stylized, abstract figure with geometric shapes and bright, clean colors (blue, yellow, and a muted reddish-orange). The blue 'head' with its single large yellow eye is presented in a whimsical, almost playful manner. The texture of the blue figure, resembling bubbles or circles, and the patterned red base are decorative and do not suggest anything repulsive or unhygienic. There is no depiction of decay, filth, bodily fluids, gore, or any other imagery typically associated with inducing disgust. The composition is clean, the lines are sharp, and the overall aesthetic is one of abstract simplicity rather than a visceral or unpleasant experience. Therefore, the artwork completely lacks visual cues that would trigger a feeling of disgust."
at-wattle-1972-5.jpg,Cubism,0.5,"The painting, depicting a woman and a cow within what appears to be a rural or stable setting, presents no elements typically associated with the emotion of disgust. There is no depiction of decay, filth, bodily fluids, illness, gore, or anything unsanitary or repulsive. The subjects are rendered in a somewhat stylized, almost expressionistic manner, with thick impasto paint. While the textured paint might evoke a tactile sensation, it does not suggest anything inherently disgusting like slime, putrefaction, or grime. The colors used are earthy and natural, lacking any hues that would indicate sickness or corruption. The scene's overall mood is contemplative or pastoral, not one that would trigger revulsion or nausea. The very low score acknowledges the extreme rarity of a perfectly zero emotional response, allowing for the most minimal, almost imperceptible, potential for any negative association one might project, but fundamentally, the visual content does not stimulate disgust."
arlequin-dansant-1924.jpg,Cubism,0.5,"The painting, an abstract and geometric composition, does not evoke any sense of disgust. Disgust is typically triggered by visual elements that are unhygienic, repulsive, morally offensive, or represent decay, illness, or extreme unpleasantness. This artwork contains none of these qualities. The forms are clean, sharp, and structured, even when they are organic or fragmented. The color palette, while varied, consists of rich and earthy tones (reds, greens, purples, browns, yellows) that are visually harmonious rather than jarring or sickening. There is no depiction of gore, filth, decay, grotesque figures, or any subject matter that would typically induce a feeling of revulsion or aversion. The overall aesthetic is one of order, design, and artistic exploration of form and color, which is far removed from anything that would cause disgust. The minimal score of 0.5 is given only to acknowledge the theoretical possibility of an idiosyncratic or highly abstract interpretation, but fundamentally, the visual content itself presents no cause for this emotion."
ang-magbabayo-pounding-rice-1979.jpg,Cubism,0.0,"There is absolutely no element within this painting that would evoke a feeling of disgust. The artwork depicts two figures engaged in what appears to be the traditional act of pounding grain in a mortar and pestle, a common and fundamental activity in many cultures. The scene is one of labor and perhaps communal effort, depicted with a vibrant and warm color palette dominated by yellows, oranges, and greens. The figures themselves are rendered in a dynamic, somewhat abstract style, but their forms are not distorted or grotesque. There are no signs of decay, filth, disease, violence, or any visually offensive or repulsive substances. The overall impression is one of energy, tradition, and a connection to the earth or sustenance, all of which are antithetical to the emotion of disgust. The painting's aesthetic is clean and bright, further preventing any sensation of revulsion."
abstract-composition-figures-in-a-landscape-1930.jpg,Cubism,5.5,"The emotion of disgust is largely absent in this artwork. The composition is abstract, featuring a blend of organic and geometric forms rendered primarily in pastel and charcoal. There are no elements within the visual language that typically trigger a feeling of revulsion. The color palette, consisting of muted greens, yellows, grays, blacks, and a touch of blue, is neither jarring nor suggestive of decay or unhygienic conditions. The forms, while somewhat amorphous and blob-like in places (particularly the gray and black masses on the right and the green form on the left), do not directly resemble anything inherently repulsive such as bodily fluids, gore, waste, or grotesque creatures. There is a certain roughness to the crayon texture, and the lines are gestural, but this does not translate into a sensation of unpleasantness or filth. The geometric elements, such as the hexagonal shape, further contribute to a more intellectual and less visceral interpretation of the piece. While abstract art can sometimes evoke discomfort or unease, this particular piece does not employ visual strategies that align with the specific sensation of disgust, which is typically a response to something perceived as offensive, sickening, or unclean. The mild score of 5.5 is given simply because, in rare cases, extremely abstract or unconventional forms can, for a very small minority of viewers, elicit a slight feeling of unease that *could* border on mild distaste, but it is not a direct or intended effect of this artwork. There is nothing overtly unsettling, repulsive, or nauseating presented."
bouteille-et-livre-rose-1926.jpg,Cubism,0.0,"There is absolutely nothing within this abstract composition that elicits or even remotely suggests a feeling of disgust. The color palette, composed of soft pastels (pinks, blues, purples, greens, browns, and whites), is gentle and harmonious, devoid of any sickly or unappetizing hues often associated with unpleasantness. The shapes are abstract and geometric, or mildly biomorphic, but they are clean, defined, and arranged in a balanced manner. There are no distorted, decaying, grotesque, or visceral forms that might trigger a sensation of revulsion. The painting lacks any discernible subject matter that could be interpreted as unclean, offensive, violent, or physically repulsive. Instead, the overall impression is one of calmness, order, and intellectual contemplation, which stands in direct opposition to any feeling of disgust."
biblical-scene.jpg,Cubism,0.0,"There is absolutely nothing within this painting that elicits or even hints at the emotion of disgust. The scene depicts two stylized figures, one attending to another who is lying down, perhaps adjusting a blanket or sheet. This interaction appears to be a mundane, domestic, or potentially caring act. There are no elements suggesting contamination, decay, squalor, bodily fluids, physical repulsion, or any form of moral offense. The colors are vibrant and clean, not murky or sickly. The forms are abstract and simplified, preventing any realistic depiction of features that might trigger revulsion. The overall composition and subject matter are neutral to positive, completely devoid of any visual cues associated with disgust."
a-red-pedestal-1942.jpg,Cubism,0.5,"The painting, an abstract still life, presents no elements traditionally associated with eliciting disgust. There are no depictions of decay, filth, bodily fluids, contamination, grotesque figures, or anything that would typically trigger a visceral sense of revulsion or nausea. The colors, while strong and vibrant (predominantly reds and oranges), are not inherently nauseating or suggestive of unpleasantries. The forms are fragmented and abstract, characteristic of Cubism, which can be disorienting or challenging to interpret, but this visual distortion does not convey any sense of physical repulsion or contamination. The objects, such as the mandolin/lute and the shoe-like form, are recognizable still-life elements, albeit stylized. While the overall aesthetic might be perceived as intense or visually jarring by some, it does not cross into the realm of the repulsive or unsanitary. Therefore, the emotional response of disgust is virtually absent, meriting a score extremely close to zero, reflecting only the absolute slightest, almost imperceptible, potential for aesthetic unease that could, in the most tenuous and subjective interpretation, lean towards a minimal form of displeasure, but certainly not genuine disgust."
bibemus-quarry-1898-1.jpg,Cubism,0.0,"This painting, a landscape by Paul Cézanne, evokes absolutely no sense of disgust. The artwork depicts a natural scene with trees, rocks, and some architectural elements, rendered in a Post-Impressionist style characterized by distinct brushstrokes and a focus on form and color. There are no elements within the painting's subject matter or execution that would typically trigger a feeling of revulsion or repulsion. The colors are earthy and vibrant (greens, oranges, browns, a light sky), and the forms, while abstracted, are solid and structural, not grotesque or unsettling. There is no depiction of decay, filth, gore, disease, unpleasant bodily functions, disturbing creatures, or any morally repugnant acts. The scene is devoid of any visual or implied sensory information that could lead to a feeling of nausea, strong aversion, or moral outrage, all of which are common triggers for disgust. The overall impression is one of a robust and structured natural environment, completely antithetical to feelings of disgust."
aviator.jpg,Cubism,25.5,"The emotion of disgust is minimally evoked by this painting, primarily due to a few unsettling visual elements that are heavily mitigated by the artwork's abstract and stylized nature. The strongest potential source of disgust is the large, white fish draped across the man's torso. While the idea of a raw, dead fish on a person could inherently suggest sliminess, decay, or an unpleasant smell, the fish here is depicted in a pristine white, almost flat manner, with no texture or color to indicate actual decomposition, moisture, or offensive odor. Its stylized, jagged bottom edge makes it appear more like a symbolic object or a graphic element rather than a decaying biological entity.

Another element that could potentially trigger discomfort, though not necessarily strong disgust, is the object (resembling a fork or rake) impaled in the man's head. However, this is presented in a surreal and clean fashion, entirely devoid of blood, gore, or any explicit depiction of a festering wound or bodily fluid. It's more shocking or unsettling as a surrealistic act than as a viscerally disgusting injury.

The overall Cubo-Futurist style, with its geometric fragmentation and non-naturalistic colors (such as the man's green-yellow face), intellectualizes the subject matter, creating a significant distance between the viewer and any potential for raw, visceral revulsion. The painting lacks any visual cues commonly associated with strong disgust, such as putrefaction, filth, bodily waste, disease, or extreme disfigurement presented realistically. Therefore, while there's a faint, almost intellectual echo of potential unpleasantness due to the unusual subject matter, the execution effectively bypasses a genuine feeling of revulsion or nausea."
