image,image_category,disgust_rating,disgust_explanation
afternoon-in-the-park.jpg,impressionism,0.0,"There is absolutely nothing in this painting that elicits a feeling of disgust. The artwork presents a serene and aesthetically pleasing scene: a woman is peacefully seated in a vibrant, sunlit garden. Her attire is elegant, and her expression appears contemplative or observational, devoid of any hint of revulsion, unease, or physical sickness. The environment is meticulously rendered with bright, harmonious colors, depicting lush greenery, well-maintained paths, and healthy plants. There are no elements of decay, squalor, grotesque imagery, unpleasant textures, or any visual cues typically associated with the emotion of disgust. The overall impression is one of tranquility, beauty, and quiet contemplation, which stands in complete opposition to any sensation of disgust."
after-the-rain.jpg,impressionism,0.0,"This painting evokes absolutely no sense of disgust. The subject matter, an architectural scene with water and reflections, is inherently neutral or even beautiful. There are no elements within the composition that could be interpreted as repulsive, unclean, decaying, or offensive. The colors are vibrant and light, contributing to an atmospheric and visually pleasing effect rather than anything unsettling. The Impressionistic style, characterized by loose brushstrokes and a focus on light and color, does not lend itself to conveying themes associated with disgust. There are no grotesque figures, disturbing textures, or hints of decay or contamination. The water, despite its dark reflections in some areas, appears dynamic and reflective, not stagnant or polluted in a way that would elicit an adverse visceral reaction. The overall impression is one of tranquility and aesthetic appeal, entirely devoid of any qualities that would trigger disgust."
a-misty-morning.jpg,impressionism,0.0,"There are no elements within this painting that would elicit a feeling of disgust. The scene depicts a tranquil and idyllic natural landscape with a river, gentle hills, and a soft, overcast sky. The figures present by the riverbank appear to be two individuals, possibly children or young adults, engaged in a peaceful, natural activity like bathing or resting by the water. Their partial undress is contextually appropriate for a river setting and is not depicted in any way that is titillating, inappropriate, or visually offensive. The colors are natural and harmonious, the brushwork conveys a sense of light and atmosphere, and the overall composition is calm and inviting. There is no indication of decay, filth, disease, violence, suffering, or anything morally or aesthetically repugnant that would trigger a visceral reaction of disgust. The painting instead evokes feelings of peace, natural beauty, and perhaps nostalgia for a simpler time, entirely devoid of any repulsive qualities."
a-fisherman-s-cottage.jpg,impressionism,0.5,"The painting, ""Garden at Giverny"" by Claude Monet, is characterized by its vibrant colors, lush greenery, and the depiction of a serene garden scene. There are no elements within the artwork that evoke disgust. The subject matter is entirely benign and aesthetically pleasing, featuring flourishing plants, a well-tended path, and figures engaged in a seemingly peaceful moment. There is no representation of decay, filth, disease, violence, suffering, or any morally repugnant themes. The Impressionistic style, with its soft, dabbing brushstrokes and focus on light and atmosphere, contributes to an overall sense of beauty and tranquility, directly opposing any feeling of revulsion or aversion. The slight score of 0.5 acknowledges the theoretical possibility of an idiosyncratic or highly unusual personal reaction, but objectively, the painting presents absolutely nothing that would trigger a typical feeling of disgust."
a-grey-day-carmel.jpg,impressionism,0.0,"The painting depicts a serene coastal landscape under a cloudy sky. The subject matter includes a stretch of ocean with foamy waves breaking against rocky outcrops, a rugged headland covered in green and reddish-brown vegetation, and distant hills blending into the horizon. There are no elements within the painting that evoke feelings of revulsion, contamination, decay, or anything physically or morally offensive. The colors are natural and harmonious, representing the blues of the sea and sky, and the greens and earth tones of the land. The textures depicted, such as the rough rocks and the various types of foliage, are consistent with a natural environment and do not suggest anything unclean or repulsive. There are no disturbing forms, signs of pollution, disease, or any visual cues typically associated with the emotion of disgust. The overall impression is one of natural beauty and tranquility, leaving no room for a sensation of disgust."
a-youngster-in-the-forest.jpg,impressionism,2.0,"The painting evokes virtually no sense of disgust. The color palette is composed of soft, muted tones—greens, yellows, browns, and pale pinks—which are generally pleasant or neutral and lack any sickly or jarring combinations often associated with revulsion. There are no garish or putrid hues that might suggest decay or unhealthiness. The forms within the artwork are abstract and fluid, resembling elongated, organic shapes, possibly trees or abstract figures, along with a simplified depiction of a human figure in the lower left. None of these forms are grotesque, distorted in a disturbing manner, or depict anything that would be inherently repulsive, such as bodily fluids, gore, decay, or unsanitary conditions. The loose, watery quality of the watercolor medium itself contributes to a gentle and ethereal atmosphere rather than one of harshness or discomfort. There is no narrative element or subject matter that hints at moral offense, contamination, or any other common triggers for disgust. The overall impression is one of placidness or gentle introspection, completely devoid of any visual cues that would provoke a feeling of aversion or revulsion. The score of 2 is assigned to acknowledge the bare minimum possibility of an idiosyncratic or highly subjective response, but objectively, the painting presents no elements that would typically elicit disgust."
a-spanish-barracks-1906.jpg,impressionism,0.0,"This watercolor painting by John Singer Sargent offers a serene and contemplative glimpse into an everyday scene, likely in a Mediterranean or North African setting. There is absolutely nothing within the composition, subject matter, or execution that could evoke a feeling of disgust. The figures are depicted engaged in casual, non-threatening interaction, possibly conversing or resting. There is no representation of squalor, decay, disease, violence, suffering, or any form of repulsive behavior or unsanitary conditions. The lighting is bright and natural, casting soft shadows, and the color palette is composed of warm, earthy tones, muted blues, and reds, all of which are visually harmonious and pleasant. Sargent's masterful watercolor technique is characterized by its fluidity, transparency, and ability to capture light and atmosphere, further contributing to the painting's aesthetic appeal rather than any sense of revulsion. The scene is benign, quiet, and aesthetically pleasing, entirely devoid of any visual cues that might trigger a sensation of disgust."
along-the-path-at-shinnecock.jpg,impressionism,0.0,"There are absolutely no elements within this painting that would evoke a feeling of disgust. The scene depicts a serene and open landscape with a few figures engaged in what appears to be a calm, leisurely activity. The colors are natural and harmonious, predominantly greens, browns, and blues, which contribute to a sense of peacefulness rather than repulsion. There is no depiction of decay, filth, violence, grotesque imagery, physical deformities, or any other subject matter typically associated with triggering disgust. The visual information presented is clean, orderly, and benign, offering nothing for the viewer's senses to recoil from."
a-mother-and-son-seated-by-a-wall-before-the-sea.jpg,impressionism,0.0,"There are absolutely no elements within this painting that would elicit a sensation of disgust. The scene depicts a woman engaged in what appears to be knitting or mending, seated beside a young child in an outdoor, natural setting, possibly under an olive tree. The figures are rendered with simple, earthy tones and do not display any signs of illness, extreme unhygiene, decay, or deformities that would be repulsive. The environment, consisting of trees, grass, and a stone wall, is also devoid of anything that could be considered foul, decaying, or unsanitary. There are no grotesque details, no depiction of waste or bodily fluids, and no imagery that suggests putrefaction, contamination, or anything inherently offensive to the senses. The overall impression of the painting is one of quiet contemplation or everyday life, which is antithetical to feelings of disgust."
anemones.jpg,impressionism,0.0,"This painting, depicting a vibrant cluster of flowers, evokes absolutely no sense of disgust. The colors are bright and lively, predominantly warm reds, oranges, and pinks, which are generally associated with beauty, energy, and pleasant feelings rather than repulsion. The subject matter itself – a bouquet of blossoms – is inherently beautiful and commonly appreciated, presenting no elements that are unclean, decaying, offensive, or visually unpleasant. There is no depiction of grime, decay, or anything that suggests a foul odor or an undesirable texture. The loose, painterly style emphasizes the freshness and organic beauty of the flowers, further reinforcing a positive aesthetic response and entirely precluding any sensation of revulsion or disgust."
along-the-woods-in-spring-1889.jpg,impressionism,0.5,"This painting evokes virtually no sense of disgust. The scene depicted is a serene and natural landscape in what appears to be early spring, characterized by blooming trees with white blossoms, verdant fields, a clear sky, and a rustic dirt path. There are no elements within the composition that suggest decay, filth, putrefaction, unsanitary conditions, or anything grotesque or repulsive. The colors are fresh and light, contributing to a sense of pleasantness and tranquility. The textures, while visible as brushstrokes and craquelure (cracking of paint due to age), are inherent to the artistic medium and technique, rather than depicting anything inherently disgusting within the subject matter. The small figures on the path are too indistinct to convey any action or state that would elicit disgust. The overall impression is one of natural beauty and a peaceful rural setting, which is antithetical to feelings of revulsion. The score of 0.5 acknowledges the theoretical possibility of an idiosyncratic or extremely abstract association, but practically, the painting offers no visual cues for disgust."
at-the-theater-1879.jpg,impressionism,0.0,"There are absolutely no elements within this painting that would evoke any sense of disgust. The artwork depicts a woman in a serene pose, holding a fan, rendered in soft pastels. The colors are warm and inviting, and the subject herself appears calm and poised. There is no imagery of decay, filth, violence, grotesque figures, unpleasant textures, or morally objectionable content. The aesthetic is gentle and pleasant, designed to capture a moment rather than provoke a strong negative visceral reaction. Therefore, the emotion of disgust is entirely absent in the viewing experience of this particular piece."
amsterdam-in-the-snow(1).jpg,impressionism,1.0,"The painting, ""Snow at Argenteuil,"" depicts a winter landscape, likely an urban or semi-urban area by a river, covered in snow under an overcast sky. The color palette is muted, consisting primarily of whites, browns, grays, and dark blues, characteristic of a cold, perhaps dreary, winter day. While the scene may evoke feelings of coldness, quiet contemplation, or even a touch of melancholy due to its subdued tones and the harshness implied by winter, there is virtually nothing within it that would trigger a feeling of disgust. Disgust typically arises from visual cues associated with contamination, decay, filth, bodily effluvia, or things that are morally repugnant or viscerally repulsive. This painting presents none of these elements. The snow, despite being depicted with varying textures and shades, covers the landscape, creating a sense of cleanliness rather than grime. The structures and figures are rendered in an impressionistic style, lacking explicit detail that might suggest squalor or decay. There are no elements that imply rot, foul odors, disease, or any form of physical or moral abomination. The scene is aesthetically composed and merely portrays a natural phenomenon and human habitation within it. Therefore, a score of 1 is assigned, acknowledging the extremely remote possibility that someone might find the subtle muted tones or the bleakness of winter slightly unappealing, but it falls far short of evoking actual disgust."
amagansett-long-island.jpg,impressionism,0.0,"There is absolutely nothing in this painting that evokes the emotion of disgust. The scene depicted is a serene and idyllic rural landscape, characterized by lush green trees, quaint houses, and a peaceful field where a horse or donkey grazes. All elements within the composition appear clean, healthy, and well-maintained within their natural context. There are no signs of decay, squalor, filth, disease, or any unhygienic conditions. Furthermore, the subject matter does not suggest any moral abomination, violence, suffering, or anything ethically repugnant that could trigger revulsion. The colors are vibrant and harmonious, contributing to a pleasant and inviting atmosphere. The overall impression of the artwork is one of tranquility and natural beauty, which is entirely contrary to any sensation of disgust."
