image,image_category,disgust_rating,disgust_explanation
01Klimt-Beethovenfries.png,leslie,0.0,"The visual elements in this section of Gustav Klimt's ""Beethoven Frieze"" do not evoke any discernible feeling of disgust. The artwork features highly stylized figures, rich decorative patterns, and extensive use of gold, which collectively contribute to an ethereal and symbolic aesthetic rather than one that is unpleasant or offensive. The nude embracing couple is depicted with tenderness and spiritual connection, not in a manner that is crude, vulgar, or designed to cause revulsion. Similarly, the figures on the left, representing suffering and human longing, are rendered with a sense of melancholic beauty or fragility rather than grotesque or decaying forms. There are no depictions of filth, decay, gore, or any other traditionally repulsive imagery. The overall impression is one of beauty, symbolism, and a profound artistic statement, none of which align with the sensation of disgust."
07Monet-nympheas.jpg,leslie,0.0,"This painting, Claude Monet's ""The Japanese Footbridge"" (or ""Bridge over a Pond of Water Lilies""), evokes feelings of tranquility, beauty, and peacefulness. There are absolutely no elements within the artwork that would elicit a sensation of disgust. The subject matter—a bridge gracefully arching over a pond filled with vibrant water lilies and surrounded by lush, green foliage—is inherently natural and aesthetically pleasing. The colors are fresh and harmonious, dominated by various shades of green and the subtle hints of pink and yellow in the water lilies, all contributing to a sense of vitality and calm. The Impressionistic brushwork, while dynamic, is not chaotic or disturbing; instead, it captures the play of light and reflections on the water in a captivating manner. There is no depiction of decay, filth, disease, unpleasant bodily matter, or any grotesque or morally repugnant imagery that is typically associated with feelings of disgust. The scene is one of pristine natural beauty, designed to soothe and delight the viewer, rather than provoke any form of aversion or revulsion."
100painting-04.jpg,leslie,0.0,"This painting evokes feelings of peace, serenity, and admiration for natural beauty. It depicts a pristine mountain landscape with snow-capped peaks, a clear blue lake, and lush green forests under a bright sky. There are no elements within the artwork that could be interpreted as unhygienic, offensive, decaying, or otherwise unpleasant. The colors are vibrant and harmonious, the subject matter is benign and universally appealing, and the overall impression is one of tranquility and freshness. Consequently, there is nothing present in the image that would trigger any sensation of disgust."
103red-plum-painting-water.jpg,leslie,0.5,"The painting evokes virtually no sense of disgust. The primary subject, a plum-like fruit, is depicted with a vibrant red hue, suggesting ripeness and freshness, rather than spoilage or decay. Its skin appears smooth and healthy, with natural variations in color and subtle reflections that convey a clean and appealing surface. The small droplets or streaks of liquid on the wooden surface beneath the fruit also appear clear and clean, possibly indicating juice or water, which further emphasizes freshness or juiciness, as opposed to grime or a repulsive residue. There are no visual cues such as mold, bruising suggestive of rot, insect infestation, or an unhygienic environment that would trigger a feeling of revulsion or unease. The warm, earthy color palette and simple composition contribute to a pleasant and benign aesthetic, completely devoid of elements that would typically provoke disgust. The slight score above zero is merely a theoretical acknowledgement of the infinitesimally small, almost imperceptible chance that any viewer might, for highly idiosyncratic reasons, associate something within the image (e.g., the moistness) with an unpleasant sensation, though this is highly unlikely given the clear visual cues of freshness."
104Strawberries_oil_painting_by_belka10.jpg,leslie,0.0,"This painting evokes absolutely no sense of disgust. The subject matter, fresh and vibrant strawberries, is inherently appealing and associated with pleasant sensations like sweetness and ripeness. Visually, the strawberries are depicted with rich, healthy red tones, plump forms, and intact green caps, all indicative of freshness and desirability. There are no elements within the painting—such as decay, mold, pests, unnatural colors, or any sign of contamination or spoilage—that would trigger a feeling of revulsion or unpleasantness. On the contrary, the artwork highlights the delicious and inviting qualities of the fruit, making any experience of disgust entirely absent."
111abstract.jpg,leslie,2.5,"The painting, being an abstract work, inherently lacks the direct, recognizable elements typically associated with eliciting disgust, such as depictions of decay, filth, bodily fluids, disease, or grotesque forms. The palette consists primarily of greys, blacks, white, and a striking gold/ochre, along with some muted blues and browns. These colors, while perhaps conveying a sense of drama or turbulence, are not inherently nauseating or repulsive. The textures, characterized by thick impasto, bold brushstrokes, and energetic splatters, suggest a dynamic and raw expressive quality rather than anything slimy, putrid, or unsanitary. There is no visual information that suggests contamination, foulness, or any subject matter that would trigger a visceral reaction of revulsion or a desire to recoil from something perceived as offensive or threatening to one's health or well-being. While abstract art can sometimes create feelings of unease or discomfort through dissonance, the aesthetic here leans more towards a powerful, perhaps turbulent, but ultimately non-repugnant visual experience. Therefore, the capacity of this painting to evoke disgust is extremely low, bordering on non-existent."
114Degas Dancers pastel 1899.jpg,leslie,0.0,"There are absolutely no elements within this painting that evoke the emotion of disgust. The artwork depicts three dancers in a soft, painterly style, likely rendered in pastel. The subject matter itself—dancers—is typically associated with grace, beauty, and artistic expression, not with anything repulsive. There are no depictions of bodily fluids, waste, decay, illness, or anything visually grotesque or unsettling that would typically trigger a visceral reaction of disgust. The figures are rendered with a degree of naturalism, and while the artist's technique involves visible, textural strokes, these do not create a sense of grubbiness or unpleasantness; rather, they contribute to the atmospheric quality of the work. The colors are generally warm and earthy, with blues and purples, and are harmoniously blended, posing no jarring or sickly visual stimuli. There is no narrative or contextual suggestion within the image that implies anything vile, unsanitary, or morally corrupt that might lead to a feeling of revulsion. The poses of the dancers appear natural and focused, devoid of any contortion or expression that would be perceived as nauseating or repugnant. Consequently, the painting presents no visual or thematic cues that align with the experience of disgust."
115broadway.jpg,leslie,0.0,"There is absolutely nothing in Piet Mondrian's ""Broadway Boogie Woogie"" that elicits any sense of disgust. The painting is a prime example of abstract art, characterized by a clean, highly structured grid of yellow lines interspersed with blocks of primary colors (red, blue) and white. Disgust is an emotion typically triggered by something offensive, repulsive, unclean, or morally objectionable. This artwork, however, presents none of these qualities. Its geometric precision, vibrant but harmoniously arranged colors, and non-representational nature leave no room for such an interpretation. There are no disturbing visual elements, no depiction of decay or squalor, no chaotic or messy forms that might evoke repulsion. Instead, the painting conveys a sense of rhythmic energy and meticulous order, inspired by the vitality of urban life and jazz music, qualities that are antithetical to disgust. The overall aesthetic is one of cleanliness, balance, and visual dynamism, prompting engagement rather than aversion."
120step_by_step.jpg,leslie,0.0,"There is absolutely nothing in this painting that would elicit a feeling of disgust. The subject is a Yorkshire Terrier, a breed widely considered cute and endearing, especially depicted with a sweet expression and a bow. The artistic style is a vibrant, painterly approach with visible brushstrokes, which contributes to a lively and appealing aesthetic rather than anything messy or unhygienic. The colors are warm and inviting, and the overall composition presents a charming and domestic scene. There are no visual elements, textures, or implied conditions (such as sickness, dirt, decay, or unpleasantness) that would trigger a sensation of revulsion, aversion, or nausea. The painting evokes feelings of warmth, cuteness, and affection, which are antithetical to disgust."
122acrylic-painting.jpg,leslie,0.0,"There is absolutely nothing in this painting that evokes disgust. The scene depicts a tranquil, autumnal rural landscape with a barn, a vibrant fall tree, a winding path, and distant hills with a church steeple. The colors are warm and inviting, dominated by golden yellows, oranges, and various shades of green and blue. The brushwork is expressive and rich, creating a sense of texture and light, but it does not suggest anything unhygienic, offensive, or repulsive. The subject matter itself is inherently benign and often associated with feelings of calm and nostalgia, rather than aversion. There are no disturbing elements, unpleasant details, or anything that would trigger a visceral negative reaction typically associated with disgust."
